"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER24L","HER24L_3A_2",5.1,1186.5,6.67,1,30814,68160,1.33,35,32,521,88,32,1955,208,3355,15,1100,1064,50795,8228
"HER24L","HER24L_3A_3",5.2,1206.17,6.69,1,30582,67603,1.3,32,18,494,84,32,1836,167,3407,102,1098,1299,50065,8118
"HER24L","HER24L_3A_4",5.3,1225.85,6.69,1,30510,66920,1.28,49,46,470,87,16,2132,142,3143,0,1082,1139,49756,8234
"HER24L","HER24L_3A_5",5.4,1245.53,6.7,1,30451,67795,1.24,48,23,503,67,37,1944,191,3228,131,1108,1149,50080,8229
"HER24L","HER24L_3A_6",5.5,1265.21,6.72,1,30244,67047,1.48,40,35,562,124,44,2470,158,3153,52,1081,1172,49445,8097
"HER24L","HER24L_3A_7",5.6,1284.89,6.73,1,29280,65103,1.28,20,29,456,147,47,2224,179,3175,92,1233,1010,47715,7933
"HER24L","HER24L_3A_8",5.7,1304.57,6.75,1,29174,64913,1.17,31,37,480,41,26,1570,97,3144,16,1562,1122,47827,8256
"HER24L","HER24L_3A_9",5.8,1324.25,6.76,1,30456,67186,1.39,25,32,460,54,16,1858,187,3263,55,1142,1301,49985,8024
"HER24L","HER24L_3A_10",5.9,1343.93,6.77,1,30003,66261,1.41,42,89,598,45,44,1664,182,3212,125,1217,1178,49128,8047
"HER24L","HER24L_3A_11",6,1363.6,6.78,1,29760,67240,1.51,42,40,444,68,49,1745,193,3368,176,1375,1172,49127,8052
"HER24L","HER24L_3A_12",6.1,1383.28,6.79,1,30466,67642,1.57,28,36,556,84,52,2066,192,3819,0,1106,965,50033,7896
"HER24L","HER24L_3A_13",6.2,1402.96,6.79,1,30487,67095,1.26,50,26,478,124,17,1523,192,3777,53,1245,1329,49588,8001
"HER24L","HER24L_3A_14",6.3,1422.64,6.8,1,30896,68150,1.51,59,40,461,46,35,1389,186,3806,43,1187,973,50891,8277
"HER24L","HER24L_3A_15",6.4,1442.32,6.81,1,31111,68879,1.2,52,24,487,30,20,1524,230,3688,0,1155,1141,51487,8424
"HER24L","HER24L_3A_16",6.5,1462,6.82,1,30886,68315,1.2,46,25,496,68,21,1722,145,3760,0,1296,1301,50823,8051
"HER24L","HER24L_3A_17",6.6,1481.68,6.83,1,30448,67262,1.29,40,53,464,106,33,1677,167,3697,20,1196,1229,49995,8017
"HER24L","HER24L_3A_18",6.7,1501.36,6.84,1,30498,67991,1.4,21,41,525,76,14,1563,187,4044,0,962,1206,50488,8108
"HER24L","HER24L_3A_19",6.8,1521.03,6.84,1,30265,68358,1.37,34,51,458,90,21,1555,183,4115,175,1039,1145,50542,8014
"HER24L","HER24L_3A_20",6.9,1540.71,6.85,1,30679,70192,1.37,22,39,423,172,53,1774,176,4292,0,1172,1277,51513,8281
"HER24L","HER24L_3A_21",7,1560.39,6.86,1,30588,69344,1.38,39,43,443,84,22,1825,192,4061,186,1071,1164,51017,8200
"HER24L","HER24L_3A_22",7.1,1580.07,6.86,1,30472,69583,1.4,48,46,465,69,16,1470,230,4176,129,1039,1519,51196,8084
"HER24L","HER24L_3A_23",7.2,1599.75,6.86,1,30586,69116,1.29,35,41,461,56,35,1322,188,4434,190,1020,1447,50878,8355
"HER24L","HER24L_3A_24",7.3,1619.43,6.86,1,30788,70081,1.31,25,25,399,29,20,1496,157,4564,0,1199,1397,51730,8291
"HER24L","HER24L_3A_25",7.4,1639.11,6.86,1,31218,70243,1.42,27,35,415,45,19,1575,209,4495,0,1166,1111,52178,8130
"HER24L","HER24L_3A_26",7.5,1658.79,6.87,1,32124,71998,1.48,54,18,476,67,27,1453,220,4654,68,1186,1130,53365,8358
"HER24L","HER24L_3A_27",7.6,1678.47,6.87,1,31262,69993,1.38,41,29,520,34,5,1345,199,4701,195,1046,1031,51978,8235
"HER24L","HER24L_3A_28",7.7,1698.14,6.87,1,31971,71622,1.55,56,20,471,39,0,1235,139,5354,77,837,1086,53263,8289
"HER24L","HER24L_3A_29",7.8,1717.82,6.85,1,32660,72892,1.32,57,57,451,59,0,1030,162,5729,0,978,1121,54222,8554
"HER24L","HER24L_3A_30",7.9,1737.5,6.83,1,33027,74305,1.29,17,38,501,21,0,1108,121,5845,171,1131,1066,54891,8705
"HER24L","HER24L_3A_31",8,1757.18,6.82,1,32327,72442,1.25,49,0,451,21,0,1009,219,5323,86,838,1279,53835,8369
"HER24L","HER24L_3A_32",8.1,1776.86,6.81,1,32995,74719,1.44,58,39,508,80,17,1116,189,5885,153,1120,1316,55063,8362
"HER24L","HER24L_3A_33",8.2,1796.54,6.81,1,32910,72833,1.37,36,51,468,18,11,841,186,5929,0,908,1272,53845,8609
"HER24L","HER24L_3A_34",8.3,1816.22,6.81,1,33042,73305,1.55,48,10,490,43,24,1004,183,5608,168,1100,1106,54121,8461
"HER24L","HER24L_3A_35",8.4,1835.9,6.81,1,33359,73708,1.35,47,34,413,40,17,843,161,5661,147,697,1336,55387,8256
"HER24L","HER24L_3A_36",8.5,1855.57,6.81,1,33565,75305,1.5,36,27,530,74,37,1064,200,5893,27,954,1279,55261,8644
"HER24L","HER24L_3A_37",8.6,1875.25,6.82,1,32716,73176,1.47,26,23,473,51,39,1079,239,5578,0,700,1221,54595,8310
"HER24L","HER24L_3A_38",8.7,1894.93,6.84,1,33004,74177,1.32,35,30,456,31,62,1895,152,4935,0,858,1170,54828,8503
"HER24L","HER24L_3A_39",8.8,1914.61,6.85,1,32675,72491,1.4,53,13,409,64,49,1052,161,5159,0,788,1248,54321,8456
"HER24L","HER24L_3A_40",8.9,1934.29,6.86,1,32433,70564,1.31,47,40,400,26,13,875,156,5083,0,938,1055,53425,7911
"HER24L","HER24L_3A_41",9,1953.97,6.88,1,32187,71451,1.42,35,20,441,25,45,1300,157,5133,14,750,1207,53196,8424
"HER24L","HER24L_3A_42",9.1,1973.65,6.88,1,32783,72750,1.26,36,41,359,36,50,1135,145,5469,42,934,1074,54148,8361
"HER24L","HER24L_3A_43",9.2,1993.33,6.89,1,32749,72288,1.35,42,14,397,26,17,1196,201,5466,57,797,1081,53976,8115
"HER24L","HER24L_3A_44",9.3,2013,6.89,1,33144,74692,1.22,33,42,435,33,33,1362,189,5509,113,852,1090,55282,8586
"HER24L","HER24L_3A_45",9.4,2032.68,6.89,1,33386,73914,1.34,47,19,421,48,0,987,203,5439,222,893,1152,55409,8477
"HER24L","HER24L_3A_46",9.5,2052.36,6.89,1,33464,74713,1.4,52,8,436,38,17,825,215,5438,68,701,1229,55813,8971
"HER24L","HER24L_3A_47",9.6,2072.04,6.89,1,33201,74488,1.52,29,15,377,36,5,707,138,5665,94,1081,1284,55529,8498
"HER24L","HER24L_3A_48",9.7,2091.72,6.89,1,33366,75770,1.6,62,53,395,62,50,1019,185,5632,273,769,1122,56228,8892
"HER24L","HER24L_3A_49",9.8,2111.4,6.9,1,33550,75397,1.29,27,23,413,31,7,823,242,5581,263,804,1231,56426,8563
"HER24L","HER24L_3A_50",9.9,2131.08,6.9,1,33840,75030,1.61,37,52,477,82,0,763,192,5477,54,842,1095,56422,8726
"HER24L","HER24L_3A_51",10,2150.76,6.9,1,33696,73640,1.38,35,69,505,86,24,1105,223,5078,0,844,1288,55390,8541
"HER24L","HER24L_3A_52",10.1,2176.62,6.91,1,33611,73833,1.29,20,16,532,32,16,1073,137,5324,235,960,1168,55454,8453
"HER24L","HER24L_3A_53",10.2,2202.48,6.92,1,33184,72804,1.39,59,38,450,53,16,632,250,5045,0,836,1209,54663,8700
"HER24L","HER24L_3A_54",10.3,2228.34,6.93,1,32616,72358,1.42,27,34,472,35,14,1220,182,4759,161,991,1195,54255,8296
"HER24L","HER24L_3A_55",10.4,2254.21,6.92,1,32793,73108,1.34,50,17,459,49,27,1316,194,5200,114,893,1350,54314,8417
"HER24L","HER24L_3A_56",10.5,2280.07,6.92,1,32623,72011,1.37,39,17,530,51,7,848,172,5376,0,1037,1490,53528,8310
"HER24L","HER24L_3A_57",10.6,2305.93,6.92,1,32767,71633,1.45,46,0,432,55,11,674,148,5194,49,939,1160,53887,8430
"HER24L","HER24L_3A_58",10.7,2331.79,6.91,1,32673,71716,1.4,58,34,456,60,0,1099,161,4622,0,959,1182,54098,8143
"HER24L","HER24L_3A_59",10.8,2357.66,6.91,1,32578,71543,1.25,39,10,458,108,33,1130,241,4296,92,776,1208,53678,8760
"HER24L","HER24L_3A_60",10.9,2383.52,6.9,1,32811,71913,1.12,46,86,491,21,26,891,200,4414,0,1004,1212,54401,8549
"HER24L","HER24L_3A_61",11,2409.38,6.9,1,33282,72925,1.37,50,19,519,212,69,1583,195,4290,51,1005,1104,54474,8584
"HER24L","HER24L_3A_62",11.1,2435.24,6.89,1,32985,72607,1.35,69,26,547,84,26,1268,158,4372,92,1204,1089,53957,8706
"HER24L","HER24L_3A_63",11.2,2461.1,6.89,1,32945,72326,1.45,45,50,498,94,29,1624,170,4649,0,972,1411,53904,8279
"HER24L","HER24L_3A_64",11.3,2486.97,6.88,1,32936,72446,1.32,44,42,552,64,43,1182,247,4314,304,1226,1216,53715,8436
"HER24L","HER24L_3A_65",11.4,2512.83,6.89,1,32921,71933,1.28,62,29,489,84,15,1149,148,4305,8,1037,1264,53937,8505
"HER24L","HER24L_3A_66",11.5,2538.69,6.9,1,32912,71282,1.11,41,25,473,50,29,983,196,4173,0,994,1290,53985,8444
"HER24L","HER24L_3A_67",11.6,2564.55,6.91,1,33003,70188,1.46,40,17,478,88,28,1161,147,3954,0,1003,1022,52758,8832
"HER24L","HER24L_3A_68",11.7,2590.42,6.92,1,32748,71342,1.44,58,23,506,66,28,1416,124,4185,175,1129,1230,53093,8412
"HER24L","HER24L_3A_69",11.8,2616.28,6.93,1,32033,68684,1.31,58,23,495,72,47,1209,181,4019,32,1163,1013,51210,8491
"HER24L","HER24L_3A_70",11.9,2642.14,6.94,1,31863,69345,1.13,25,25,476,48,26,1232,174,4090,7,1133,1455,51426,8299
"HER24L","HER24L_3A_71",12,2668,6.95,1,31730,68560,1.38,44,79,512,72,34,988,138,3978,192,1299,1120,51149,8479
"HER24L","HER24L_3A_72",12.1,2693.87,6.96,1,31987,69276,1.29,6,31,517,46,38,1514,164,3895,29,1203,1113,51404,8590
"HER24L","HER24L_3A_73",12.2,2719.73,6.97,1,32079,69514,1.38,68,38,552,117,11,1276,142,3870,66,1366,1295,51471,8465
"HER24L","HER24L_3A_74",12.3,2745.59,6.97,1,31915,68943,1.2,48,26,592,88,35,1567,170,3653,51,1355,1056,51091,8395
"HER24L","HER24L_3A_75",12.4,2771.45,6.97,1,31494,68548,1.29,54,34,624,99,62,1263,146,3669,168,1550,1175,50405,8562
"HER24L","HER24L_3A_76",12.5,2797.32,6.97,1,30264,66178,1.44,39,44,618,192,26,1162,202,3431,196,1199,1101,49122,8207
"HER24L","HER24L_3A_77",12.6,2823.18,6.96,1,30311,65410,1.41,42,73,657,80,0,1035,171,3282,161,1682,1079,48168,8017
"HER24L","HER24L_3A_78",12.7,2849.04,6.94,1,30573,68559,1.48,51,62,993,172,80,2987,151,3039,76,1708,1110,48892,8361
"HER24L","HER24L_3A_79",12.8,2874.9,6.91,1,31590,70315,1.39,39,48,727,356,105,2923,165,3675,50,1793,1092,50085,8537
"HER24L","HER24L_3A_80",12.9,2900.76,6.92,1,32136,69768,1.4,70,44,659,126,57,2081,169,3638,41,1467,1227,50931,8319
"HER24L","HER24L_3A_81",13,2926.63,6.92,1,31868,68539,1.46,39,58,693,103,75,2172,202,3585,0,1344,1226,50022,8470
"HER24L","HER24L_3A_82",13.1,2952.49,6.93,1,31347,67927,1.33,82,56,811,85,35,1937,171,3404,0,1276,1355,49611,8376
"HER24L","HER24L_3A_83",13.2,2978.35,6.94,1,31634,69441,1.38,65,64,724,264,39,1987,213,3642,0,1444,1387,50684,8353
"HER24L","HER24L_3A_84",13.3,3004.21,6.96,1,31904,69561,1.53,75,48,678,106,50,2280,216,3677,0,1397,1503,50183,8493
"HER24L","HER24L_3A_85",13.4,3030.08,6.98,1,31483,68457,1.31,34,44,676,115,61,1739,120,3577,144,1431,1176,50228,8577
"HER24L","HER24L_3A_86",13.5,3055.94,6.99,1,31373,68600,1.32,71,42,583,96,16,1242,202,3383,41,1679,1268,50697,8384
"HER24L","HER24L_3A_87",13.6,3081.8,7,1,32050,69081,1.27,51,50,633,87,11,1324,179,3525,0,1508,1171,51203,8716
"HER24L","HER24L_3A_88",13.7,3107.66,7.01,1,32218,70864,1.28,23,54,678,84,37,1611,173,3665,28,1451,1268,52381,8450
"HER24L","HER24L_3A_89",13.8,3133.53,7.02,1,31791,70078,1.35,47,34,582,99,52,1542,126,3607,0,1483,1110,52295,8428
"HER24L","HER24L_3A_90",13.9,3159.39,7.03,1,32415,70222,1.35,66,18,593,83,9,1453,168,3371,0,1456,1087,52381,8641
"HER24L","HER24L_3A_91",14,3185.25,7.04,1,32620,71414,1.41,71,55,600,87,38,1518,201,3536,63,1363,1302,52757,8754
"HER24L","HER24L_3A_92",14.1,3211.11,7.05,1,32805,71400,1.53,51,31,666,100,54,1839,169,3677,190,1279,1149,52990,8441
"HER24L","HER24L_3A_93",14.2,3236.98,7.05,1,32567,72405,1.29,42,46,695,105,138,3529,182,3509,0,1124,1149,52528,8608
"HER24L","HER24L_3A_94",14.3,3262.84,7.05,1,32170,71374,1.18,65,45,628,67,49,2153,172,3409,178,1526,1242,52350,8530
"HER24L","HER24L_3A_95",14.4,3288.7,7.06,1,32147,71235,1.39,58,58,636,96,70,1897,184,3404,19,1242,1431,52485,8778
"HER24L","HER24L_3A_96",14.5,3314.56,7.06,1,32504,71148,1.29,25,58,644,111,45,2057,173,3264,141,1356,1308,52826,8471
"HER24L","HER24L_3A_97",14.6,3340.43,7.06,1,32684,71059,1.28,55,63,673,77,35,1512,143,3365,44,1360,1389,53354,8365
"HER24L","HER24L_3A_98",14.7,3366.29,7.07,1,32635,71728,1.15,48,50,780,102,31,1860,204,3129,216,1544,1162,53060,8623
"HER24L","HER24L_3A_99",14.8,3392.15,7.06,1,32917,72931,1.38,50,63,804,187,91,2672,205,3221,185,1473,1243,53412,8510
"HER24L","HER24L_3A_100",14.9,3418.01,7.07,1,33209,72746,1.37,38,55,639,82,19,1338,191,3293,10,1370,1313,54715,8929
"HER24L","HER24L_3A_101",15,3443.87,7.07,1,33613,73643,1.44,46,50,626,127,32,1958,212,3042,0,1276,1391,55259,8656
"HER24L","HER24L_3A_102",15.1,3447.59,7.07,1,34072,73790,1.59,60,70,669,144,28,1250,221,2994,0,1010,1120,56537,8881
"HER24L","HER24L_3A_103",15.2,3451.31,7.08,1,33960,73491,1.23,44,35,643,164,27,1559,145,2880,47,1006,1271,55780,9105
"HER24L","HER24L_3A_104",15.3,3455.02,7.07,1,33217,71423,1.3,60,53,615,103,21,1287,167,2919,0,983,1006,54904,8538
"HER24L","HER24L_3A_105",15.4,3458.74,7.08,1,33020,71434,1.34,52,42,647,74,11,1182,168,2938,35,1140,1248,54196,8630
"HER24L","HER24L_3A_106",15.5,3462.45,7.07,1,33126,71043,1.29,55,50,727,91,46,1759,189,3107,30,1079,1128,53745,8378
"HER24L","HER24L_3A_107",15.6,3466.17,7.07,1,32777,71337,1.41,48,72,796,142,41,1782,207,3080,0,1190,1391,53022,8643
"HER24L","HER24L_3A_108",15.7,3469.88,7.06,1,32484,71232,1.39,64,115,726,156,74,1769,164,3243,0,1490,1295,52448,8930
"HER24L","HER24L_3A_109",15.8,3473.6,7.06,1,32518,71852,1.36,50,92,795,185,80,2740,140,3306,0,1548,1155,52098,8700
"HER24L","HER24L_3A_110",15.9,3477.31,7.06,1,32580,70564,1.49,50,75,698,142,32,1937,159,3261,0,1521,997,51972,8813
"HER24L","HER24L_3A_111",16,3481.03,7.04,1,32450,71862,1.51,68,66,780,187,44,1849,181,3382,71,1541,1340,52322,8837
"HER24L","HER24L_3A_112",16.1,3484.74,7.03,1,32755,71380,1.32,67,122,923,133,56,1861,160,3338,14,1397,1507,52030,8844
"HER24L","HER24L_3A_113",16.2,3488.46,7.01,1,33218,72664,1.35,60,114,825,180,30,2324,215,3330,121,1721,1295,52679,8742
"HER24L","HER24L_3A_114",16.3,3492.17,7,1,33177,72613,1.29,71,60,981,165,69,2757,214,2977,53,1628,1303,52679,8790
"HER24L","HER24L_3A_115",16.4,3495.89,6.97,1,32733,70756,1.39,57,74,861,156,27,1761,226,2777,0,1726,1252,52368,8679
"HER24L","HER24L_3A_116",16.5,3499.61,6.95,1,32210,69997,1.37,75,70,620,133,32,2061,141,2493,26,1493,1285,52183,8814
"HER24L","HER24L_3A_117",16.6,3503.32,6.93,1,32697,71337,1.17,70,70,770,184,38,2964,216,2610,161,1431,913,52361,8815
"HER24L","HER24L_3A_118",16.7,3507.04,6.93,1,32371,70912,1.26,50,82,671,560,96,3202,127,2915,0,1332,976,51330,8559
"HER24L","HER24L_3A_119",16.8,3510.75,6.94,1,32750,72648,1.34,58,130,749,737,117,2651,155,3188,169,1571,1215,52255,8666
"HER24L","HER24L_3A_120",16.9,3514.47,6.95,1,32748,71385,1.27,66,72,785,437,139,2690,204,2844,51,1565,1253,51847,8535
"HER24L","HER24L_3A_121",17,3518.18,6.96,1,32140,69482,1.27,86,121,830,146,69,2585,183,3079,111,1337,1254,50363,8535
"HER24L","HER24L_3A_122",17.1,3521.9,6.98,1,32095,68914,1.34,49,73,774,157,40,1932,210,2839,144,1308,1067,50861,8773
"HER24L","HER24L_3A_123",17.2,3525.61,6.99,1,31969,69414,1.41,80,41,806,190,85,2343,165,2936,0,1138,1298,50960,8724
"HER24L","HER24L_3A_124",17.3,3529.33,6.99,1,31442,67292,1.25,54,69,744,118,49,1680,272,2868,87,1338,891,49798,8392
"HER24L","HER24L_3A_125",17.4,3533.04,7,1,31156,67395,1.26,45,72,790,255,79,2712,154,3043,104,1574,939,48447,8134
"HER24L","HER24L_3A_126",17.5,3536.76,7.02,1,30537,66829,1.54,40,89,863,152,70,2868,196,3055,0,1653,1106,47509,8347
"HER24L","HER24L_3A_127",17.6,3540.47,7.03,1,29596,64896,1.18,60,83,913,221,58,3180,215,2701,258,1583,986,45786,7987
"HER24L","HER24L_3A_128",17.7,3544.19,7.04,1,29355,65473,1.21,53,128,870,251,169,5076,154,2932,42,1547,1157,44500,7936
"HER24L","HER24L_3A_129",17.8,3547.91,7.06,1,28987,65054,1.22,48,80,848,218,147,4516,193,2764,0,1852,1058,44537,8200
"HER24L","HER24L_3A_130",17.9,3551.62,7.07,1,29069,65515,1.35,53,83,976,498,156,4261,138,2755,93,2001,1181,44349,7969
"HER24L","HER24L_3A_131",18,3555.34,7.08,1,29178,66304,1.21,80,117,987,302,96,4762,147,2761,141,1873,1020,44737,8120
"HER24L","HER24L_3A_132",18.1,3559.05,7.09,1,29160,66012,1.23,59,98,996,215,139,3848,153,2683,446,1781,969,45002,8069
"HER24L","HER24L_3A_133",18.2,3562.77,7.11,1,29187,65466,1.29,46,147,1062,229,93,3736,108,2882,213,1906,1375,44816,7976
"HER24L","HER24L_3A_134",18.3,3566.48,7.12,1,28612,64500,1.29,48,89,924,253,125,4430,178,2612,29,1880,807,44028,7942
"HER24L","HER24L_3A_135",18.4,3570.2,7.13,1,28045,63838,1.28,54,118,1023,298,123,4389,141,2314,63,1876,1025,43436,7935
"HER24L","HER24L_3A_136",18.5,3573.91,7.14,1,28007,63483,1.17,73,95,959,300,105,4181,170,2499,86,1946,1253,42735,8136
"HER24L","HER24L_3A_137",18.6,3577.63,7.14,1,28115,63539,1.42,60,185,906,693,175,4298,119,2717,146,1585,1045,42705,7877
"HER24L","HER24L_3A_138",18.7,3581.34,7.14,1,27315,61810,1.57,40,97,1152,272,187,5466,105,2363,152,1686,1126,40704,7833
"HER24L","HER24L_3A_139",18.8,3585.06,7.15,1,26472,61272,1.23,72,136,1248,237,126,5876,201,2131,267,2015,1089,39246,7649
"HER24L","HER24L_3A_140",18.9,3588.77,7.15,1,25062,58289,1.3,53,163,1402,494,191,6360,136,1876,134,1979,1187,36098,7303
"HER24L","HER24L_3A_141",19,3592.49,7.16,1,23975,55425,1.47,66,216,1471,426,163,5393,167,1883,109,1913,862,34437,7297
"HER24L","HER24L_3A_142",19.1,3596.21,7.16,1,23371,57681,1.29,46,321,1899,542,259,9055,94,1484,111,2655,894,32019,7324
"HER24L","HER24L_3A_143",19.2,3599.92,7.17,1,22483,55409,1.56,41,267,1789,592,271,9747,78,1202,188,2413,942,29677,7057
"HER24L","HER24L_3A_144",19.3,3603.64,7.16,1,22033,56082,1.57,49,348,1886,925,420,10473,63,1045,147,2748,830,28745,7073
"HER24L","HER24L_3A_145",19.4,3607.35,7.17,1,21921,54703,1.43,53,341,1755,440,267,9939,92,967,208,2477,916,28817,7359
"HER24L","HER24L_3A_146",19.5,3611.07,7.18,1,21900,56582,1.29,41,282,1960,1093,336,10801,118,880,248,2390,734,29261,7331
"HER24L","HER24L_3A_147",19.6,3614.78,7.18,1,22522,60052,1.3,65,363,2364,783,423,14600,137,1017,223,2719,603,28604,7072
"HER24L","HER24L_3A_148",19.7,3618.5,7.19,1,22099,59296,1.35,51,305,2186,822,371,13168,82,1043,168,2548,874,28420,7746
"HER24L","HER24L_3A_149",19.8,3622.21,7.19,1,22120,61341,1.36,46,402,2398,1037,507,17150,57,875,209,2836,773,26855,7173
"HER24L","HER24L_3A_150",19.9,3625.93,7.19,1,20725,53495,1.57,51,532,2190,753,283,9429,32,742,459,2688,883,25912,8150
"HER24L","HER24L_3A_151",20,3629.64,7.2,1,19374,48659,1.26,43,323,1566,397,230,8265,65,557,178,2633,817,24415,8091
"HER24L","HER24L_3A_152",20.1,3633.06,7.22,1,17664,43262,1.45,18,260,1327,428,177,6946,91,493,364,2127,1052,22715,6543
"HER24L","HER24L_3A_153",20.2,3636.48,7.22,1,19399,51637,1.33,34,311,1935,575,293,10999,168,654,380,2672,631,24708,6845
"HER24L","HER24L_3A_154",20.3,3639.9,7.23,1,19353,50149,1.48,40,440,2101,662,244,9744,50,418,488,3190,663,24047,6868
"HER24L","HER24L_3A_155",20.4,3643.32,7.23,1,19405,48598,1.42,33,468,1857,578,261,8656,49,627,262,2900,862,24156,6915
"HER24L","HER24L_3A_156",20.5,3646.74,7.22,1,19512,51538,1.4,29,384,2009,561,285,11027,45,641,407,2913,954,23749,6910
"HER24L","HER24L_3A_157",20.6,3650.16,7.22,1,19122,50756,1.56,22,317,1882,458,303,12201,83,478,388,2648,732,23460,6874
"HER24L","HER24L_3A_158",20.7,3653.57,7.24,1,19154,50192,1.49,17,461,1793,901,318,11413,84,399,323,2935,1000,23205,6640
"HER24L","HER24L_3A_159",20.8,3656.99,7.23,1,20154,50834,1.5,58,668,2049,598,279,10002,116,326,512,2675,657,24814,7070
"HER24L","HER24L_3A_160",20.9,3660.41,7.23,1,20238,52852,1.54,53,455,2199,694,326,11137,90,720,304,2724,893,24484,6833
"HER24L","HER24L_3A_161",21,3663.83,7.25,1,20281,53634,1.51,30,582,2428,931,267,11009,109,637,244,3115,640,25437,7278
"HER24L","HER24L_3A_162",21.1,3667.25,7.23,1,21069,65326,1.43,32,453,3000,904,638,24542,83,574,282,2411,740,23383,6738
"HER24L","HER24L_3A_163",21.2,3670.67,7.22,1,19940,56810,1.53,19,408,2392,730,484,17067,127,646,335,2598,601,23267,6804
"HER24L","HER24L_3A_164",21.3,3674.09,7.22,1,19910,52649,1.37,37,304,2111,600,316,11557,79,737,412,3302,669,24319,7091
"HER24L","HER24L_3A_165",21.4,3677.51,7.22,1,19025,48804,1.4,57,306,1974,588,309,9791,95,609,237,2778,588,23531,6831
"HER24L","HER24L_3A_166",21.5,3680.92,7.24,1,19767,52719,1.42,26,407,1966,2010,491,11683,23,550,181,2610,589,23434,7671
"HER24L","HER24L_3A_167",21.6,3684.34,7.26,1,19404,49665,1.56,26,498,2350,668,244,9558,107,522,509,2696,852,23472,7277
"HER24L","HER24L_3A_168",21.7,3687.76,7.28,1,19654,53586,1.35,43,485,2249,859,382,13534,99,654,437,2648,638,23206,7081
